A,k,func_values
0.6,314.15927,598260000.0
0.6,471.23892,587527100.0
0.6,628.31854,528216300.0
0.6,785.3982,289529630.0
0.6,942.47784,139251780.0
0.6,1099.5575,85094250.0
0.6,1256.6371,59180060.0
0.6,1413.7167,47990708.0
0.6,1570.7964,33226678.0
0.6,1727.8761,22379634.0
0.6,1884.9557,21106188.0
0.6,2042.0353,27984954.0
0.6,2199.115,25893204.0
0.6,2356.1946,18290734.0
0.6,2513.2742,18592092.0
0.6999999,157.07964,650165500.0
0.6999999,314.15927,660190900.0
0.6999999,471.23892,685344700.0
0.6999999,628.31854,656350900.0
0.6999999,785.3982,373051600.0
0.6999999,942.47784,171192110.0
0.6999999,1099.5575,101840216.0
0.6999999,1256.6371,73343270.0
0.6999999,1413.7167,58562600.0
0.6999999,1570.7964,34554270.0
0.6999999,1727.8761,21087068.0
0.6999999,1884.9557,18688266.0
0.6999999,2042.0353,26219512.0
0.6999999,2199.115,20352854.0
0.6999999,2356.1946,18173790.0
0.6999999,2513.2742,18667680.0
0.79999995,157.07964,690528200.0
0.79999995,314.15927,704272060.0
0.79999995,471.23892,752532900.0
0.79999995,628.31854,730695550.0
0.79999995,785.3982,446726560.0
0.79999995,942.47784,207638220.0
0.79999995,1099.5575,123275600.0
0.79999995,1256.6371,93912700.0
0.79999995,1413.7167,74761730.0
0.79999995,1570.7964,40519784.0
0.79999995,1727.8761,23055604.0
0.79999995,1884.9557,19132958.0
0.79999995,2042.0353,26894724.0
0.79999995,2199.115,21681310.0
0.79999995,2356.1946,15931138.0
0.79999995,2513.2742,17332074.0
0.9,157.07964,720606460.0
0.9,314.15927,728106940.0
0.9,471.23892,799757000.0
0.9,628.31854,836069900.0
0.9,785.3982,517461820.0
0.9,942.47784,243749740.0
0.9,1099.5575,149005400.0
0.9,1256.6371,114892940.0
0.9,1413.7167,88997890.0
0.9,1570.7964,47573700.0
0.9,1727.8761,28465258.0
0.9,1884.9557,21684638.0
0.9,2042.0353,28305562.0
0.9,2199.115,28226496.0
0.9,2356.1946,16533973.0
0.9,2513.2742,12899205.0
1.0,157.07964,752508200.0
1.0,314.15927,748395300.0
1.0,471.23892,820592260.0
1.0,628.31854,973700540.0
1.0,785.3982,580664640.0
1.0,942.47784,276092860.0
1.0,1099.5575,171056800.0
1.0,1256.6371,133655416.0
1.0,1413.7167,103834410.0
1.0,1570.7964,54077320.0
1.0,1727.8761,31747142.0
1.0,1884.9557,27175878.0
1.0,2042.0353,29109296.0
1.0,2199.115,33087494.0
1.0,2356.1946,18057598.0
1.0,2513.2742,14525397.0
1.1,157.07964,791820100.0
1.1,314.15927,767159400.0
1.1,471.23892,817163200.0
1.1,628.31854,1061459650.0
1.1,785.3982,626506900.0
1.1,942.47784,306294620.0
1.1,1099.5575,187186180.0
1.1,1256.6371,147435060.0
1.1,1413.7167,113274264.0
1.1,1570.7964,58947010.0
1.1,1727.8761,34184204.0
1.1,1884.9557,29772414.0
1.1,2042.0353,30383236.0
1.1,2199.115,35596710.0
1.1,2356.1946,17129242.0
1.1,2513.2742,15452679.0
1.1999999,157.07964,840719740.0
1.1999999,314.15927,801324400.0
1.1999999,471.23892,818125630.0
1.1999999,628.31854,1071485760.0
1.1999999,785.3982,663216100.0
1.1999999,942.47784,346967300.0
1.1999999,1099.5575,203820530.0
1.1999999,1256.6371,157137420.0
1.1999999,1413.7167,119894056.0
1.1999999,1570.7964,63000170.0
1.1999999,1727.8761,38115484.0
1.1999999,1884.9557,33252102.0
1.1999999,2042.0353,32599502.0
1.1999999,2199.115,37574188.0
1.1999999,2356.1946,16279096.0
1.1999999,2513.2742,13404880.0
1.3,157.07964,888173760.0
1.3,314.15927,851165400.0
1.3,471.23892,831256600.0
1.3,628.31854,1074460000.0
1.3,785.3982,698372800.0
1.3,942.47784,386282980.0
1.3,1099.5575,220455280.0
1.3,1256.6371,166425620.0
1.3,1413.7167,126155750.0
1.3,1570.7964,69292020.0
1.3,1727.8761,41115016.0
1.3,1884.9557,36269332.0
1.3,2042.0353,35658784.0
1.3,2199.115,39420960.0
1.3,2356.1946,16913542.0
1.3,2513.2742,12150410.0
1.4,157.07964,909662340.0
1.4,314.15927,894527600.0
1.4,471.23892,856146900.0
1.4,628.31854,1090330200.0
1.4,785.3982,743057340.0
1.4,942.47784,416815200.0
1.4,1099.5575,236869810.0
1.4,1256.6371,174941950.0
1.4,1413.7167,132554700.0
1.4,1570.7964,75399210.0
1.4,1727.8761,45432456.0
1.4,1884.9557,39782524.0
1.4,2042.0353,35620932.0
1.4,2199.115,42782090.0
1.4,2356.1946,19324590.0
1.4,2513.2742,12212738.0
1.4999999,157.07964,922829100.0
1.4999999,314.15927,936474050.0
1.4999999,471.23892,900666560.0
1.4999999,628.31854,1093643900.0
1.4999999,785.3982,783525570.0
1.4999999,942.47784,447733760.0
1.4999999,1099.5575,250009300.0
1.4999999,1256.6371,179993680.0
1.4999999,1413.7167,137829890.0
1.4999999,1570.7964,79194610.0
1.4999999,1727.8761,48449516.0
1.4999999,1884.9557,42386156.0
1.4999999,2042.0353,37718024.0
1.4999999,2199.115,43938316.0
1.4999999,2356.1946,20892742.0
1.4999999,2513.2742,13432035.0
1.6,157.07964,946295100.0
1.6,314.15927,961079800.0
1.6,471.23892,944898560.0
1.6,628.31854,1088891900.0
1.6,785.3982,816847170.0
1.6,942.47784,474738180.0
1.6,1099.5575,258002160.0
1.6,1256.6371,181866240.0
1.6,1413.7167,142415260.0
1.6,1570.7964,81234850.0
1.6,1727.8761,51459156.0
1.6,1884.9557,43726804.0
1.6,2042.0353,41367228.0
1.6,2199.115,45542536.0
1.6,2356.1946,21289430.0
1.6,2513.2742,14585335.0
1.6999999,157.07964,973835460.0
1.6999999,314.15927,978481100.0
1.6999999,471.23892,993196700.0
1.6999999,628.31854,1090664700.0
1.6999999,785.3982,843576000.0
1.6999999,942.47784,493790430.0
1.6999999,1099.5575,260050900.0
1.6999999,1256.6371,183141250.0
1.6999999,1413.7167,147824300.0
1.6999999,1570.7964,84172700.0
1.6999999,1727.8761,54301504.0
1.6999999,1884.9557,45742348.0
1.6999999,2042.0353,45450400.0
1.6999999,2199.115,47569320.0
1.6999999,2356.1946,22011244.0
1.6999999,2513.2742,15507256.0
1.7999998,157.07964,1003672700.0
1.7999998,314.15927,1001569300.0
1.7999998,471.23892,1037154940.0
1.7999998,628.31854,1091310200.0
1.7999998,785.3982,889241400.0
1.7999998,942.47784,508100450.0
1.7999998,1099.5575,261309600.0
1.7999998,1256.6371,185281310.0
1.7999998,1413.7167,153301180.0
1.7999998,1570.7964,86656740.0
1.7999998,1727.8761,57028364.0
1.7999998,1884.9557,47528748.0
1.7999998,2042.0353,48956264.0
1.7999998,2199.115,47587836.0
1.7999998,2356.1946,22982394.0
1.7999998,2513.2742,16828062.0
1.9,157.07964,1039760600.0
1.9,314.15927,1011521700.0
1.9,471.23892,1058897340.0
1.9,628.31854,1079299000.0
1.9,785.3982,929185100.0
1.9,942.47784,514507600.0
1.9,1099.5575,268807400.0
1.9,1256.6371,187541760.0
1.9,1413.7167,158134830.0
1.9,1570.7964,90032430.0
1.9,1727.8761,59757884.0
1.9,1884.9557,49298388.0
1.9,2042.0353,52363144.0
1.9,2199.115,47624876.0
1.9,2356.1946,24089318.0
1.9,2513.2742,18146074.0
1.9999999,157.07964,1089020500.0
1.9999999,314.15927,1015640200.0
1.9999999,471.23892,1063042700.0
1.9999999,628.31854,1087024100.0
1.9999999,785.3982,966847700.0
1.9999999,942.47784,536602530.0
1.9999999,1099.5575,279502050.0
1.9999999,1256.6371,190899570.0
1.9999999,1413.7167,162778610.0
1.9999999,1570.7964,94325970.0
1.9999999,1727.8761,62667636.0
1.9999999,1884.9557,51659304.0
1.9999999,2042.0353,56405196.0
1.9999999,2199.115,48161900.0
1.9999999,2356.1946,25136288.0
1.9999999,2513.2742,19655234.0
2.1,157.07964,1133288600.0
2.1,314.15927,1026525200.0
2.1,471.23892,1056255700.0
2.1,628.31854,1111447400.0
2.1,785.3982,1009109700.0
2.1,942.47784,556403200.0
2.1,1099.5575,286056770.0
2.1,1256.6371,197272880.0
2.1,1413.7167,167852980.0
2.1,1570.7964,98878040.0
2.1,1727.8761,65541664.0
2.1,1884.9557,54121556.0
2.1,2042.0353,60219444.0
2.1,2199.115,49326050.0
2.1,2356.1946,26324292.0
2.1,2513.2742,21003414.0
2.2,157.07964,1184153200.0
2.2,314.15927,1044045250.0
2.2,471.23892,1059139260.0
2.2,628.31854,1115129700.0
2.2,785.3982,1072547140.0
2.2,942.47784,571581700.0
2.2,1099.5575,292955900.0
2.2,1256.6371,203075860.0
2.2,1413.7167,173735980.0
2.2,1570.7964,103390210.0
2.2,1727.8761,68210680.0
2.2,1884.9557,56901000.0
2.2,2042.0353,63893812.0
2.2,2199.115,50876724.0
2.2,2356.1946,27843686.0
2.2,2513.2742,22345254.0
2.3,157.07964,1231935900.0
2.3,314.15927,1072026430.0
2.3,471.23892,1072905660.0
2.3,628.31854,1143635800.0
2.3,785.3982,1126172900.0
2.3,942.47784,588903940.0
2.3,1099.5575,300229900.0
2.3,1256.6371,207591060.0
2.3,1413.7167,179528560.0
2.3,1570.7964,107377790.0
2.3,1727.8761,70912870.0
2.3,1884.9557,59381596.0
2.3,2042.0353,66932948.0
2.3,2199.115,51872956.0
2.3,2356.1946,29235632.0
2.3,2513.2742,23589274.0
2.3999999,157.07964,1292288900.0
2.3999999,314.15927,1109690900.0
2.3999999,471.23892,1084931300.0
2.3999999,628.31854,1157152000.0
2.3999999,785.3982,1172987600.0
2.3999999,942.47784,614767500.0
2.3999999,1099.5575,306358700.0
2.3999999,1256.6371,209928370.0
2.3999999,1413.7167,184504050.0
2.3999999,1570.7964,111355416.0
2.3999999,1727.8761,72840070.0
2.3999999,1884.9557,61295464.0
2.3999999,2042.0353,69620664.0
2.3999999,2199.115,53136916.0
2.3999999,2356.1946,30939630.0
2.3999999,2513.2742,24444646.0
2.4999998,157.07964,1316850000.0
2.4999998,314.15927,1148980400.0
2.4999998,471.23892,1103691100.0
2.4999998,628.31854,1175499600.0
2.4999998,785.3982,1201645300.0
2.4999998,942.47784,636553000.0
2.4999998,1099.5575,313329570.0
2.4999998,1256.6371,211183650.0
2.4999998,1413.7167,188560900.0
2.4999998,1570.7964,114109140.0
2.4999998,1727.8761,75028070.0
2.4999998,1884.9557,63126110.0
2.4999998,2042.0353,72020456.0
2.4999998,2199.115,54517244.0
2.4999998,2356.1946,32319664.0
2.4999998,2513.2742,24997886.0
2.6,157.07964,1349552500.0
2.6,314.15927,1173291900.0
2.6,471.23892,1129212300.0
2.6,628.31854,1229496700.0
2.6,785.3982,1238825300.0
2.6,942.47784,653993300.0
2.6,1099.5575,320725600.0
2.6,1256.6371,211568750.0
2.6,1413.7167,190212140.0
2.6,1570.7964,117044100.0
2.6,1727.8761,77750710.0
2.6,1884.9557,64806476.0
2.6,2042.0353,73992810.0
2.6,2199.115,56952000.0
2.6,2356.1946,33543902.0
2.6,2513.2742,25420580.0
2.7,157.07964,1406204900.0
2.7,314.15927,1205695900.0
2.7,471.23892,1156497500.0
2.7,628.31854,1245134700.0
2.7,785.3982,1261035800.0
2.7,942.47784,667872960.0
2.7,1099.5575,327812860.0
2.7,1256.6371,212401180.0
2.7,1413.7167,191551150.0
2.7,1570.7964,119973530.0
2.7,1727.8761,80111784.0
2.7,1884.9557,66863170.0
2.7,2042.0353,75600950.0
2.7,2199.115,58758590.0
2.7,2356.1946,34768944.0
2.7,2513.2742,25632650.0
2.8,157.07964,1436843400.0
2.8,314.15927,1225168600.0
2.8,471.23892,1185416600.0
2.8,628.31854,1249524900.0
2.8,785.3982,1255385100.0
2.8,942.47784,680875700.0
2.8,1099.5575,333365920.0
2.8,1256.6371,214018580.0
2.8,1413.7167,193750830.0
2.8,1570.7964,122958310.0
2.8,1727.8761,82491020.0
2.8,1884.9557,68138904.0
2.8,2042.0353,77461096.0
2.8,2199.115,60758612.0
2.8,2356.1946,36260532.0
2.8,2513.2742,25960982.0
2.8999999,157.07964,1493189200.0
2.8999999,314.15927,1263160300.0
2.8999999,471.23892,1192966400.0
2.8999999,628.31854,1264381600.0
2.8999999,785.3982,1266381200.0
2.8999999,942.47784,690928640.0
2.8999999,1099.5575,336853500.0
2.8999999,1256.6371,214706510.0
2.8999999,1413.7167,195838480.0
2.8999999,1570.7964,125745040.0
2.8999999,1727.8761,85151640.0
2.8999999,1884.9557,68942056.0
2.8999999,2042.0353,79550030.0
2.8999999,2199.115,62336732.0
2.8999999,2356.1946,37658160.0
2.8999999,2513.2742,26255438.0
2.9999998,157.07964,1517953300.0
2.9999998,314.15927,1273707400.0
2.9999998,471.23892,1204873200.0
2.9999998,628.31854,1287569700.0
2.9999998,785.3982,1260417200.0
2.9999998,942.47784,706830300.0
2.9999998,1099.5575,341379800.0
2.9999998,1256.6371,215771250.0
2.9999998,1413.7167,198437570.0
2.9999998,1570.7964,128342200.0
2.9999998,1727.8761,88154050.0
2.9999998,1884.9557,70332090.0
2.9999998,2042.0353,81667090.0
2.9999998,2199.115,63400916.0
2.9999998,2356.1946,38833332.0
2.9999998,2513.2742,26364926.0
3.1,157.07964,1599752700.0
3.1,314.15927,1301765800.0
3.1,471.23892,1207834900.0
3.1,628.31854,1311762300.0
3.1,785.3982,1275211800.0
3.1,942.47784,724617600.0
3.1,1099.5575,344377400.0
3.1,1256.6371,217559020.0
3.1,1413.7167,200533540.0
3.1,1570.7964,129456950.0
3.1,1727.8761,91963850.0
3.1,1884.9557,71542630.0
3.1,2042.0353,83482490.0
3.1,2199.115,65327390.0
3.1,2356.1946,39853516.0
3.1,2513.2742,26791396.0
3.1999998,157.07964,1648545700.0
3.1999998,314.15927,1356858800.0
3.1999998,471.23892,1209360300.0
3.1999998,628.31854,1338312800.0
3.1999998,785.3982,1277440900.0
3.1999998,942.47784,733455170.0
3.1999998,1099.5575,348637500.0
3.1999998,1256.6371,223120420.0
3.1999998,1413.7167,202789730.0
3.1999998,1570.7964,131396520.0
3.1999998,1727.8761,95380820.0
3.1999998,1884.9557,73449690.0
3.1999998,2042.0353,85298240.0
3.1999998,2199.115,66957524.0
3.1999998,2356.1946,40979308.0
3.1999998,2513.2742,27347806.0
3.3,157.07964,1661214600.0
3.3,314.15927,1383007600.0
3.3,471.23892,1202123100.0
3.3,628.31854,1357313400.0
3.3,785.3982,1287370600.0
3.3,942.47784,749401700.0
3.3,1099.5575,353109250.0
3.3,1256.6371,225710380.0
3.3,1413.7167,205882750.0
3.3,1570.7964,133611624.0
3.3,1727.8761,98277390.0
3.3,1884.9557,75453930.0
3.3,2042.0353,87628990.0
3.3,2199.115,69245224.0
3.3,2356.1946,42040064.0
3.3,2513.2742,28180160.0
3.3999999,157.07964,1751127700.0
3.3999999,314.15927,1412263400.0
3.3999999,471.23892,1203282300.0
3.3999999,628.31854,1366728800.0
3.3999999,785.3982,1328145300.0
3.3999999,942.47784,754828740.0
3.3999999,1099.5575,357208030.0
3.3999999,1256.6371,231793460.0
3.3999999,1413.7167,210988910.0
3.3999999,1570.7964,135128140.0
3.3999999,1727.8761,100454936.0
3.3999999,1884.9557,77088550.0
3.3999999,2042.0353,89144310.0
3.3999999,2199.115,71704936.0
3.3999999,2356.1946,43649452.0
3.3999999,2513.2742,28999300.0
3.4999998,157.07964,1792892200.0
3.4999998,314.15927,1453816700.0
3.4999998,471.23892,1203376500.0
3.4999998,628.31854,1373803400.0
3.4999998,785.3982,1342868900.0
3.4999998,942.47784,769920200.0
3.4999998,1099.5575,360245250.0
3.4999998,1256.6371,236527980.0
3.4999998,1413.7167,217628880.0
3.4999998,1570.7964,137387440.0
3.4999998,1727.8761,103322370.0
3.4999998,1884.9557,79152420.0
3.4999998,2042.0353,91041080.0
3.4999998,2199.115,73986296.0
3.4999998,2356.1946,45363224.0
3.4999998,2513.2742,29361524.0
3.6,157.07964,1899801900.0
3.6,314.15927,1490417700.0
3.6,471.23892,1204405900.0
3.6,628.31854,1372879900.0
3.6,785.3982,1362030500.0
3.6,942.47784,777178400.0
3.6,1099.5575,363653950.0
3.6,1256.6371,239872820.0
3.6,1413.7167,222096290.0
3.6,1570.7964,138957740.0
3.6,1727.8761,106077580.0
3.6,1884.9557,80378650.0
3.6,2042.0353,92472750.0
3.6,2199.115,76027496.0
3.6,2356.1946,47331500.0
3.6,2513.2742,30314790.0
3.6999998,157.07964,1993828400.0
3.6999998,314.15927,1553047300.0
3.6999998,471.23892,1209401500.0
3.6999998,628.31854,1369699000.0
3.6999998,785.3982,1387042600.0
3.6999998,942.47784,789410370.0
3.6999998,1099.5575,367491940.0
3.6999998,1256.6371,243128320.0
3.6999998,1413.7167,221521620.0
3.6999998,1570.7964,141435700.0
3.6999998,1727.8761,109240024.0
3.6999998,1884.9557,81813360.0
3.6999998,2042.0353,93595640.0
3.6999998,2199.115,78529176.0
3.6999998,2356.1946,48488668.0
3.6999998,2513.2742,31272448.0
3.8,157.07964,2140781800.0
3.8,314.15927,1607285900.0
3.8,471.23892,1215125500.0
3.8,628.31854,1364453000.0
3.8,785.3982,1412016800.0
3.8,942.47784,794445440.0
3.8,1099.5575,370178530.0
3.8,1256.6371,246357400.0
3.8,1413.7167,222767340.0
3.8,1570.7964,142882960.0
3.8,1727.8761,112135910.0
3.8,1884.9557,83154470.0
3.8,2042.0353,95463144.0
3.8,2199.115,80283896.0
3.8,2356.1946,49564412.0
3.8,2513.2742,31655230.0
3.8999999,157.07964,2350162400.0
3.8999999,314.15927,1688375700.0
3.8999999,471.23892,1222381400.0
3.8999999,628.31854,1358856200.0
3.8999999,785.3982,1433244000.0
3.8999999,942.47784,807820400.0
3.8999999,1099.5575,374171360.0
3.8999999,1256.6371,251402930.0
3.8999999,1413.7167,226584580.0
3.8999999,1570.7964,145503150.0
3.8999999,1727.8761,113177040.0
3.8999999,1884.9557,84505420.0
3.8999999,2042.0353,96639120.0
3.8999999,2199.115,81451240.0
3.8999999,2356.1946,50477676.0
3.8999999,2513.2742,32212938.0
3.9999998,157.07964,2478159400.0
3.9999998,314.15927,1708942700.0
3.9999998,471.23892,1234588200.0
3.9999998,628.31854,1357156200.0
3.9999998,785.3982,1468012000.0
3.9999998,942.47784,820737700.0
3.9999998,1099.5575,379064670.0
3.9999998,1256.6371,256545230.0
3.9999998,1413.7167,232286510.0
3.9999998,1570.7964,148912080.0
3.9999998,1727.8761,115223064.0
3.9999998,1884.9557,85613840.0
3.9999998,2042.0353,98547550.0
3.9999998,2199.115,83485210.0
3.9999998,2356.1946,51192020.0
3.9999998,2513.2742,32875214.0
4.1,157.07964,2734534400.0
4.1,314.15927,1780123600.0
4.1,471.23892,1252192900.0
4.1,628.31854,1355122000.0
4.1,785.3982,1497138400.0
4.1,942.47784,829571000.0
4.1,1099.5575,383824030.0
4.1,1256.6371,262253600.0
4.1,1413.7167,236459260.0
4.1,1570.7964,151508900.0
4.1,1727.8761,114290730.0
4.1,1884.9557,87033190.0
4.1,2042.0353,100030456.0
4.1,2199.115,85664664.0
4.1,2356.1946,51866988.0
4.1,2513.2742,33442400.0
4.2,157.07964,2931746600.0
4.2,314.15927,1873930600.0
4.2,471.23892,1265349600.0
4.2,628.31854,1357527900.0
4.2,785.3982,1535520400.0
4.2,942.47784,848693760.0
4.2,1099.5575,389419870.0
4.2,1256.6371,266629100.0
4.2,1413.7167,238638580.0
4.2,1570.7964,155227060.0
4.2,1727.8761,117568790.0
4.2,1884.9557,88594510.0
4.2,2042.0353,101639120.0
4.2,2199.115,86900790.0
4.2,2356.1946,52517556.0
4.2,2513.2742,34247936.0
4.2999997,157.07964,3181850600.0
4.2999997,314.15927,1917215000.0
4.2999997,471.23892,1284702600.0
4.2999997,628.31854,1360364800.0
4.2999997,785.3982,1548573600.0
4.2999997,942.47784,862777540.0
4.2999997,1099.5575,395119680.0
4.2999997,1256.6371,271642620.0
4.2999997,1413.7167,242138190.0
4.2999997,1570.7964,158941360.0
4.2999997,1727.8761,117827224.0
4.2999997,1884.9557,90179790.0
4.2999997,2042.0353,103326024.0
4.2999997,2199.115,87292730.0
4.2999997,2356.1946,53188770.0
4.2999997,2513.2742,34746004.0
4.3999996,157.07964,3446065200.0
4.3999996,314.15927,2045816400.0
4.3999996,471.23892,1310893000.0
4.3999996,628.31854,1364534100.0
4.3999996,785.3982,1571926100.0
4.3999996,942.47784,879942140.0
4.3999996,1099.5575,401165660.0
4.3999996,1256.6371,273962850.0
4.3999996,1413.7167,243466540.0
4.3999996,1570.7964,161475170.0
4.3999996,1727.8761,119775400.0
4.3999996,1884.9557,91931990.0
4.3999996,2042.0353,105174400.0
4.3999996,2199.115,88153680.0
4.3999996,2356.1946,54018216.0
4.3999996,2513.2742,35763540.0
4.5,157.07964,3754845000.0
4.5,314.15927,2156927500.0
4.5,471.23892,1315768800.0
4.5,628.31854,1371990700.0
4.5,785.3982,1596563800.0
4.5,942.47784,896245760.0
4.5,1099.5575,407928480.0
4.5,1256.6371,277758940.0
4.5,1413.7167,245430480.0
4.5,1570.7964,163101780.0
4.5,1727.8761,119229850.0
4.5,1884.9557,93391350.0
4.5,2042.0353,106359630.0
4.5,2199.115,88924690.0
4.5,2356.1946,54702400.0
4.5,2513.2742,36457340.0
4.6,157.07964,4068102100.0
4.6,314.15927,2279158500.0
4.6,471.23892,1332106500.0
4.6,628.31854,1378873200.0
4.6,785.3982,1612111700.0
4.6,942.47784,919903400.0
4.6,1099.5575,414307420.0
4.6,1256.6371,279643700.0
4.6,1413.7167,247239020.0
4.6,1570.7964,168810350.0
4.6,1727.8761,122271384.0
4.6,1884.9557,95559976.0
4.6,2042.0353,108832720.0
4.6,2199.115,91026330.0
4.6,2356.1946,55399476.0
4.6,2513.2742,37471740.0
4.7,157.07964,4493018000.0
4.7,314.15927,2382173000.0
4.7,471.23892,1364811300.0
4.7,628.31854,1389577600.0
4.7,785.3982,1634088300.0
4.7,942.47784,936108200.0
4.7,1099.5575,419715140.0
4.7,1256.6371,281693900.0
4.7,1413.7167,250231680.0
4.7,1570.7964,174041390.0
4.7,1727.8761,122188200.0
4.7,1884.9557,98190750.0
4.7,2042.0353,110688936.0
4.7,2199.115,93233920.0
4.7,2356.1946,56765056.0
4.7,2513.2742,38203100.0
4.7999997,157.07964,4766204000.0
4.7999997,314.15927,2563726000.0
4.7999997,471.23892,1400666400.0
4.7999997,628.31854,1399663900.0
4.7999997,785.3982,1613231000.0
4.7999997,942.47784,957997400.0
4.7999997,1099.5575,425264800.0
4.7999997,1256.6371,283354460.0
4.7999997,1413.7167,253208200.0
4.7999997,1570.7964,178621340.0
4.7999997,1727.8761,122449860.0
4.7999997,1884.9557,99635670.0
4.7999997,2042.0353,113590070.0
4.7999997,2199.115,94954850.0
4.7999997,2356.1946,57303910.0
4.7999997,2513.2742,39171260.0
4.8999996,157.07964,5221013000.0
4.8999996,314.15927,2719178000.0
4.8999996,471.23892,1426597900.0
4.8999996,628.31854,1409162100.0
4.8999996,785.3982,1603100900.0
4.8999996,942.47784,974602900.0
4.8999996,1099.5575,429845220.0
4.8999996,1256.6371,284460700.0
4.8999996,1413.7167,255538160.0
4.8999996,1570.7964,181616720.0
4.8999996,1727.8761,123057020.0
4.8999996,1884.9557,100332420.0
4.8999996,2042.0353,115364690.0
4.8999996,2199.115,97131090.0
4.8999996,2356.1946,58113820.0
4.8999996,2513.2742,40202784.0
5.0,157.07964,5658929000.0
5.0,314.15927,2927847200.0
5.0,471.23892,1475775700.0
5.0,628.31854,1416792300.0
5.0,785.3982,1599889000.0
5.0,942.47784,986813760.0
5.0,1099.5575,433962080.0
5.0,1256.6371,284987000.0
5.0,1413.7167,255443700.0
5.0,1570.7964,183803760.0
5.0,1727.8761,121871030.0
5.0,1884.9557,102741570.0
5.0,2042.0353,117020776.0
5.0,2199.115,98848660.0
5.0,2356.1946,58624380.0
5.0,2513.2742,40840456.0
